FIPS Code,State,County Name,"Population Estimate, 2007","Population Estimate, 2008","Population Estimate, 2009",2010 Census Population,"Population Estimate, 2011","Population Estimate, 2012"
2290,AK,Yukon-Koyukuk,5811,5712,5627,5588,5656,5770
4001,AZ,Apache,69278,69520,70591,71518,72401,73195
4003,AZ,Cochise,127736,128425,129518,131346,133289,132088
4005,AZ,Coconino,127451,128426,129849,134421,134511,136011
4007,AZ,Gila,52231,52273,52199,53597,53144,53144
4009,AZ,Graham,34736,36204,37045,37220,37147,37416
4011,AZ,Greenlee,7760,8058,8041,8437,8606,8802
4012,AZ,La Paz,20133,20005,20012,20489,20419,20281
4013,AZ,Maricopa,3872962,3958263,4023132,3817117,3880244,3942169
4015,AZ,Mohave,195852,195601,194825,200186,202351,203334
4017,AZ,Navajo,110999,112348,112975,107449,107398,107094
4019,AZ,Pima,996593,1009832,1020200,980263,989569,992394
4021,AZ,Pinal,302633,329060,340962,375770,382992,387365
4023,AZ,Santa Cruz,42692,43133,43771,47420,47676,47303
4025,AZ,Yavapai,212004,214930,215686,211033,211888,212637
4027,AZ,Yuma,189181,193299,196972,195751,200870,200022
5001,AR,Arkansas,19315,19146,18971,19019,18892,18892
5003,AR,Ashley,22258,22186,21941,21853,21692,21524
5005,AR,Baxter,41845,41946,42157,41513,41536,41048
5007,AR,Benton,210963,219494,225504,221339,227556,232268
5009,AR,Boone,36653,36863,36821,36903,37051,37327
5011,AR,Bradley,11964,11899,11790,11508,11482,11397
5013,AR,Calhoun,5473,5324,5196,5368,5144,5307
5015,AR,Carroll,27278,27486,27938,27446,27512,27610
5017,AR,Chicot,12308,12045,11823,11800,11721,11433
5019,AR,Clark,23684,23883,23835,22995,22858,22936
5021,AR,Clay,16068,15774,15585,16083,15880,15684
5023,AR,Cleburne,25282,25334,25600,25970,25901,25808
5025,AR,Cleveland,8735,8597,8436,8689,8672,8627
5027,AR,Columbia,24308,24104,23854,24552,24401,24473
5029,AR,Conway,20678,20677,20799,21273,21270,21287
5031,AR,Craighead,91383,93419,95457,96443,98315,99735
5033,AR,Crawford,59035,59577,60102,61948,61944,61946
5035,AR,Crittenden,52123,52561,53022,50902,50525,50021
5037,AR,Cross,18627,18718,18544,17870,17781,17683
5039,AR,Dallas,8191,8107,7991,8116,8072,7987
5041,AR,Desha,13715,13478,13358,13008,12763,12545
5043,AR,Drew,18693,18652,18624,18509,18467,18743
5045,AR,Faulkner,104658,107289,109386,113237,116342,118704
5047,AR,Franklin,18098,18069,18016,18125,18047,18045
5049,AR,Fulton,11793,11750,11585,12245,12296,12318
5051,AR,Garland,96499,97700,98479,96024,97124,96903
5053,AR,Grant,17506,17744,17760,17853,17988,17986
5055,AR,Greene,40302,40618,40996,42090,42720,43163
5057,AR,Hempstead,23212,22969,23027,22609,22541,22373
5059,AR,Hot Spring,31859,31906,31787,32923,32881,33394
5061,AR,Howard,14106,14305,14291,13789,13886,13735
5063,AR,Independence,34516,34508,34634,36647,36861,37025
5065,AR,Izard,13031,13094,13038,13696,13419,13474
5067,AR,Jackson,17039,16811,16658,17997,17866,17600
5069,AR,Jefferson,79413,79117,78705,77435,76246,74723
5071,AR,Johnson,24778,24876,24994,25540,25742,25901
5073,AR,Lafayette,7716,7669,7504,7645,7516,7447
5075,AR,Lawrence,16867,16978,16882,17415,17178,17012
5077,AR,Lee,10702,10660,10319,10424,10326,10216
5079,AR,Lincoln,13695,13593,13553,14134,14006,14101
5081,AR,Little River,12887,12865,12952,13171,12996,12919
5083,AR,Logan,22671,22578,22342,22353,22290,21983
5085,AR,Lonoke,63581,65233,66677,68356,69341,69839
5087,AR,Madison,15538,15831,15875,15717,15776,15645
5089,AR,Marion,16609,16802,16594,16653,16573,16568
5091,AR,Miller,42901,43326,43522,43462,43759,43634
5093,AR,Mississippi,46610,46760,46605,46480,45966,45562
5095,AR,Monroe,8568,8355,8171,8149,8075,7828
5097,AR,Montgomery,9068,9097,9009,9487,9433,9340
5099,AR,Nevada,9331,9149,9164,8997,9017,8925
5101,AR,Newton,8313,8294,8191,8330,8264,8086
5103,AR,Ouachita,26023,25718,25432,26120,25880,25396
5105,AR,Perry,10362,10297,10312,10445,10405,10339
5107,AR,Phillips,21915,21458,20921,21757,21442,20784
5109,AR,Pike,10828,10704,10627,11291,11259,11247
5111,AR,Poinsett,24881,24716,24682,24583,24514,24307
5113,AR,Polk,20137,20117,20259,20662,20610,20471
5115,AR,Pope,59194,59772,60214,61754,62331,62765
5117,AR,Prairie,8814,8657,8582,8715,8618,8458
5119,AR,Pulaski,374992,378145,381904,382748,386299,388953
5121,AR,Randolph,18040,18066,17952,17969,18017,17930
5123,AR,St. Francis,26788,26260,26255,28258,27970,27858
5125,AR,Saline,95391,97213,99449,107118,109526,111845
5127,AR,Scott,11294,11228,11123,11233,11272,11010
5129,AR,Searcy,8054,8031,7944,8195,8036,8007
5131,AR,Sebastian,121741,122436,123597,125744,127127,127304
5133,AR,Sevier,16376,16677,16904,17058,17293,17177
5135,AR,Sharp,17738,17687,17664,17264,17380,17054
5137,AR,Stone,11911,12028,11991,12394,12603,12663
5139,AR,Union,42933,43005,42782,41639,41427,40867
5141,AR,Van Buren,16461,16493,16418,17295,17083,17030
5143,AR,Washington,194696,197210,200181,203065,207521,211411
5145,AR,White,73667,74970,76338,77076,78167,78493
5147,AR,Woodruff,7660,7472,7359,7260,7229,7100
5149,AR,Yell,21852,22188,22496,22185,22060,21932
6001,CA,Alameda,1449020,1470326,1491482,1510271,1529875,1554720
6003,CA,Alpine,1144,1057,1041,1175,1102,1129
6005,CA,Amador,38480,37980,37876,38091,37953,37035
6007,CA,Butte,217741,219503,220577,220000,220266,221539
6009,CA,Calaveras,46852,46944,46731,45578,45052,44742
6011,CA,Colusa,21100,21155,21321,21419,21549,21411
6013,CA,Contra Costa,1010542,1025464,1041274,1049025,1066096,1079597
6015,CA,Del Norte,28746,28873,29114,28610,28659,28290
6017,CA,El Dorado,175752,177009,178447,181058,180938,180561
6019,CA,Fresno,889888,903133,915267,930450,942904,947895
6021,CA,Glenn,27862,28127,28299,28122,28128,27992
6023,CA,Humboldt,128564,128852,129623,134623,134761,134827
6025,CA,Imperial,160366,163093,166874,174528,177057,176948
6027,CA,Inyo,17438,17223,17293,18546,18478,18495
6029,CA,Kern,784687,797145,807407,839631,851710,856158
6031,CA,Kings,147622,148746,148764,152982,153765,151364
6033,CA,Lake,64644,65092,65279,64665,64323,63983
6035,CA,Lassen,35005,34547,34473,34895,34200,33658
6037,CA,Los Angeles,9734701,9779254,9848011,9818605,9889056,9962789
6039,CA,Madera,145223,147577,148632,150865,152925,152218
6041,CA,Marin,246100,248345,250750,252409,255031,256069
6043,CA,Mariposa,17963,17960,17792,18251,18191,17905
6045,CA,Mendocino,85560,85786,86040,87841,87553,87428
6047,CA,Merced,243083,244356,245321,255793,259898,262305
6049,CA,Modoc,9100,9089,9107,9686,9517,9327
6051,CA,Mono,12825,12881,12927,14202,14309,14348
6053,CA,Monterey,402116,405660,410370,415057,421898,426762
6055,CA,Napa,131949,133591,134650,136484,138088,139045
6057,CA,Nevada,96942,97297,97751,98764,98612,98292
6059,CA,Orange,2957902,2989141,3026786,3010232,3055745,3090132
6061,CA,Placer,331870,341041,348552,348432,357138,361682
6063,CA,Plumas,20606,20359,20122,20007,19765,19399
6065,CA,Riverside,2055924,2087917,2125440,2189641,2239620,2268783
6067,CA,Sacramento,1373585,1386469,1400949,1418788,1436105,1450121
6069,CA,San Benito,54505,54797,55058,55269,56072,56884
6071,CA,San Bernardino,1992989,2004914,2017673,2035210,2065377,2081313
6073,CA,San Diego,2975656,3019274,3053793,3095313,3140069,3177063
6075,CA,San Francisco,799185,808001,815358,805235,812826,825863
6077,CA,San Joaquin,665246,668753,674860,685306,696214,702612
6079,CA,San Luis Obispo,261706,265134,266971,269637,271969,274804
6081,CA,San Mateo,697339,708100,718989,718451,727209,739311
6083,CA,Santa Barbara,400499,403655,407057,423895,426878,431249
6085,CA,Santa Clara,1723927,1755849,1784642,1781642,1809378,1837504
6087,CA,Santa Cruz,250126,252929,256218,262382,264298,266776
6089,CA,Shasta,179334,180515,181099,177223,177774,178586
6091,CA,Sierra,3312,3250,3174,3240,3113,3086
6093,CA,Siskiyou,44222,44535,44634,44900,44507,44154
6095,CA,Solano,405994,406293,407234,413344,416471,420757
6097,CA,Sonoma,461424,466424,472102,483878,488116,491829
6099,CA,Stanislaus,506411,507450,510385,514453,518522,521726
6101,CA,Sutter,91497,92127,92614,94737,94919,95022
6103,CA,Tehama,60764,61143,61138,63463,63601,63406
6105,CA,Trinity,13933,14015,14165,13786,13723,13526
6107,CA,Tulare,416189,422343,429668,442179,449253,451977
6109,CA,Tuolumne,55681,55616,55175,55365,54953,54008
6111,CA,Ventura,789671,794778,802983,823318,831771,835981
6113,CA,Yolo,193912,196619,199407,200849,202054,204118
6115,CA,Yuba,71698,72865,72925,72155,72578,72926
8001,CO,Adams,419607,429597,440994,441603,451443,459598
8003,CO,Alamosa,15297,15441,15424,15445,15710,16148
8005,CO,Arapahoe,543414,554372,565360,572003,584948,595546
8007,CO,Archuleta,12479,12497,12430,12084,12013,12070
8009,CO,Baca,3840,3782,3723,3788,3795,3751
8011,CO,Bent,5785,6058,6560,6499,6250,5773
8013,CO,Boulder,295691,300452,303482,294567,299378,305318
8014,CO,Broomfield,53664,54813,55990,55889,57352,58298
8015,CO,Chaffee,16858,17000,17156,17809,17932,18150
8017,CO,Cheyenne,1781,1779,1746,1836,1876,1874
8019,CO,Clear Creek,8933,8910,8706,9088,9012,9026
8021,CO,Conejos,8006,7980,7844,8256,8291,8275
8023,CO,Costilla,3303,3246,3148,3524,3662,3594
8025,CO,Crowley,6471,6498,6403,5823,5736,5365
8027,CO,Custer,3964,3944,4000,4255,4205,4249
8029,CO,Delta,30219,30834,31322,30952,30451,30432
8031,CO,Denver,578789,593086,610345,600158,619968,634265
8033,CO,Dolores,1889,1954,1940,2064,2056,1994
8035,CO,Douglas,271955,281138,288225,285465,292167,298215
8037,CO,Eagle,50568,52019,53653,52197,51854,51874
8039,CO,Elbert,22684,22938,23287,23086,23174,23383
8041,CO,El Paso,585518,595359,604542,622263,636963,644964
8043,CO,Fremont,47340,47677,47815,46824,47347,46788
8045,CO,Garfield,52965,54838,56298,56389,56270,56953
8047,CO,Gilpin,5070,5238,5604,5441,5467,5491
8049,CO,Grand,13575,13775,13911,14843,14548,14195
8051,CO,Gunnison,14988,15222,15350,15324,15408,15475
8053,CO,Hinsdale,834,818,821,843,830,810
8055,CO,Huerfano,7705,7765,7558,6711,6520,6596
8057,CO,Jackson,1369,1340,1369,1394,1370,1348
8059,CO,Jefferson,528396,533295,536922,534543,539884,545358
8061,CO,Kiowa,1305,1272,1238,1398,1433,1444
8063,CO,Kit Carson,7871,8128,8402,8270,8142,8094
8065,CO,Lake,7854,7999,8046,7310,7427,7338
8067,CO,La Plata,49668,50633,51464,51334,51917,52401
8069,CO,Larimer,286927,292889,298382,299630,305525,310487
8071,CO,Las Animas,15815,15901,16020,15507,15037,14945
8073,CO,Lincoln,5247,5208,5169,5467,5454,5453
8075,CO,Logan,20908,20718,20772,22709,22619,22631
8077,CO,Mesa,138289,141905,146093,146723,147083,147848
8079,CO,Mineral,963,950,912,712,708,709
8081,CO,Moffat,13555,13822,13980,13795,13451,13200
8083,CO,Montezuma,25108,25150,25368,25535,25442,25431
8085,CO,Montrose,39452,40484,41412,41276,41011,40725
8087,CO,Morgan,27552,27540,27850,28159,28175,28472
8089,CO,Otero,18706,18639,18670,18831,18865,18698
8091,CO,Ouray,4400,4588,4602,4436,4356,4530
8093,CO,Park,16964,16997,16762,16206,16089,16029
8095,CO,Phillips,4469,4448,4472,4442,4399,4367
8097,CO,Pitkin,15099,15616,16043,17148,17102,17263
8099,CO,Prowers,13006,12989,12982,12551,12549,12389
8101,CO,Pueblo,154348,156009,157224,159063,160545,160852
8103,CO,Rio Blanco,6198,6318,6534,6666,6782,6857
8105,CO,Rio Grande,11621,11632,11581,11982,11956,11943
8107,CO,Routt,22340,22965,23469,23509,23239,23334
8109,CO,Saguache,6864,7018,7097,6108,6228,6304
8111,CO,San Juan,574,571,555,699,692,690
8113,CO,San Miguel,7459,7527,7558,7359,7490,7580
8115,CO,Sedgwick,2330,2348,2326,2379,2364,2383
8117,CO,Summit,26234,26724,27239,27994,27972,28044
8119,CO,Teller,21749,21616,21685,23350,23356,23389
8121,CO,Washington,4597,4472,4420,4814,4770,4766
8123,CO,Weld,242250,248852,254759,252825,258638,263691
8125,CO,Yuma,9580,9620,9734,10043,10100,10119
9001,CT,Fairfield,889067,894401,901208,916829,925899,933835
9003,CT,Hartford,874107,876319,879835,894014,894705,897259
9005,CT,Litchfield,188465,188647,188728,189927,188789,187530
9007,CT,Middlesex,164034,164932,165702,165676,166043,165602
9009,CT,New Haven,843619,845573,848006,862477,861113,862813
9011,CT,New London,264481,265830,266830,274055,273502,274170
9013,CT,Tolland,148200,149919,150461,152691,152507,151539
9015,CT,Windham,116660,117311,117518,118428,118151,117599
10001,DE,Kent,152090,155492,157741,162310,164834,167626
10003,DE,New Castle,527786,531057,534634,538479,541971,546076
10005,DE,Sussex,185020,189662,192747,197145,200330,203390
11001,DC,District of Columbia,586409,590074,599657,601723,617996,632323
12001,FL,Alachua,240196,242133,243574,247336,249365,251417
12003,FL,Baker,25605,26048,26336,27115,27154,27086
12005,FL,Bay,163300,163802,164767,168852,169856,171903
12007,FL,Bradford,28997,29171,29235,28520,28255,27049
12009,FL,Brevard,534407,536314,536357,543376,543566,547307
12011,FL,Broward,1746968,1753262,1766476,1748066,1780172,1815137
12013,FL,Calhoun,13515,13543,13821,14625,14750,14723
12015,FL,Charlotte,157235,157736,156952,159978,160511,162449
12017,FL,Citrus,139838,140865,140357,141236,140031,139360
12019,FL,Clay,182392,185102,186756,190865,192370,194345
12021,FL,Collier,313463,315533,318537,321520,328134,332427
12023,FL,Columbia,67927,68901,69264,67531,67485,67966
12027,FL,DeSoto,35096,35036,35297,34862,34894,34712
12029,FL,Dixie,14871,14846,14824,16422,16486,16126
12031,FL,Duval,848841,853116,857040,864263,870709,879602
12033,FL,Escambia,302580,302776,303343,297619,299114,302715
12035,FL,Flagler,88088,90700,91622,95696,97376,98359
12037,FL,Franklin,11272,11247,11280,11549,11596,11686
12039,FL,Gadsden,46728,47450,47474,46389,46151,46528
12041,FL,Gilchrist,16918,17046,17116,16939,17004,16815
12043,FL,Glades,10967,11072,10950,12884,12635,13107
12045,FL,Gulf,15763,15683,15755,15863,15844,15718
12047,FL,Hamilton,14251,14412,14592,14799,14671,14708
12049,FL,Hardee,28832,29135,29415,27731,27887,27514
12051,FL,Hendry,39399,39602,39594,39140,39089,37447
12053,FL,Hernando,168982,171447,171233,172778,173094,173422
12055,FL,Highlands,98512,99034,98704,98786,98630,98128
12057,FL,Hillsborough,1169910,1180118,1195317,1229226,1267775,1277746
12059,FL,Holmes,19119,19170,19099,19927,19873,19804
12061,FL,Indian River,132837,134293,135167,138028,138894,140567
12063,FL,Jackson,48955,50915,50930,49746,49292,48968
12065,FL,Jefferson,13854,13982,14010,14761,14658,14256
12067,FL,Lafayette,8023,8054,7949,8870,8942,8804
12069,FL,Lake,302170,307964,312119,297052,301019,303186
12071,FL,Lee,585264,588709,586908,618754,631330,645293
12073,FL,Leon,262720,264597,265714,275487,277971,283769
12075,FL,Levy,38830,39199,39147,40801,40156,40025
12077,FL,Liberty,7798,7966,7983,8365,8314,8276
12079,FL,Madison,18977,18961,18901,19224,19115,18907
12081,FL,Manatee,314027,316059,318361,322833,327142,333895
12083,FL,Marion,323032,327172,328547,331298,332529,335125
12085,FL,Martin,138865,139080,139794,146318,147495,148817
12086,FL,Miami-Dade,2453567,2478745,2500625,2496435,2554766,2591035
12087,FL,Monroe,73420,73298,73165,73090,73873,74809
12089,FL,Nassau,68441,69815,70576,73314,74195,74629
12091,FL,Okaloosa,180911,179529,178473,180822,183482,190083
12093,FL,Okeechobee,40023,40222,40241,39996,40140,39467
12095,FL,Orange,1066117,1075737,1086480,1145956,1169107,1202234
12097,FL,Osceola,258283,266609,270618,268685,276163,287416
12099,FL,Palm Beach,1264648,1269745,1279950,1320134,1335187,1356545
12101,FL,Pasco,459566,468384,471709,464697,466457,470391
12103,FL,Pinellas,912764,910058,909013,916542,917398,921319
12105,FL,Polk,573483,580282,583403,602095,609492,616158
12107,FL,Putnam,73740,73455,72893,74364,74041,73263
12109,FL,St. Johns,175818,182447,187436,190039,195823,202188
12111,FL,St. Lucie,260461,265646,266502,277789,280379,283866
12113,FL,Santa Rosa,147753,150356,151759,151372,154104,158512
12115,FL,Sarasota,368841,369867,369765,379448,382213,386147
12117,FL,Seminole,408308,410658,413204,422718,425071,430838
12119,FL,Sumter,72711,75219,77681,93420,97756,101620
12121,FL,Suwannee,39473,39830,40149,41551,41972,43656
12123,FL,Taylor,20947,21390,21400,22570,22691,22744
12125,FL,Union,14727,14935,14584,15535,15388,15212
12127,FL,Volusia,498769,497344,495890,494593,494804,496950
12129,FL,Wakulla,30246,31142,32815,30776,30978,30818
12131,FL,Walton,52664,53920,55105,55043,55793,57582
12133,FL,Washington,22883,23994,23916,24896,24935,24892
13001,GA,Appling,17905,18044,18011,18236,18420,18368
13003,GA,Atkinson,8165,8198,8230,8375,8413,8284
13005,GA,Bacon,10564,10532,10601,11096,11203,11198
13007,GA,Baker,3744,3772,3637,3451,3085,3366
13009,GA,Baldwin,46521,46950,46337,45720,44417,46367
13011,GA,Banks,16443,16665,16799,18395,18251,18316
13013,GA,Barrow,67170,70255,72158,69367,69912,70169
13015,GA,Bartow,92717,94999,96217,100157,100421,100661
13017,GA,Ben Hill,17724,17665,17567,17634,17673,17538
13019,GA,Berrien,16690,17022,17044,19286,19372,19041
13021,GA,Bibb,154891,155079,156060,155547,156433,156462
13023,GA,Bleckley,12827,12777,12855,13063,13290,12913
13025,GA,Brantley,15434,15496,15643,18411,18367,18587
13027,GA,Brooks,16344,16481,16354,16243,15889,15403
13029,GA,Bryan,30084,31301,32559,30233,31377,32214
13031,GA,Bulloch,66412,67795,69213,70217,72881,72694
13033,GA,Burke,22823,22840,22797,23316,23504,23125
13035,GA,Butts,23644,24388,24392,23655,23504,23524
13037,GA,Calhoun,5988,6152,6306,6694,6740,6504
13039,GA,Camden,47365,47973,48277,50513,50410,51402
13043,GA,Candler,10432,10495,10680,10998,11276,11117
13045,GA,Carroll,111928,113781,114778,110527,111159,111580
13047,GA,Catoosa,62457,63215,64035,63942,64530,65046
13049,GA,Charlton,10592,10833,10725,12171,13422,13295
13051,GA,Chatham,248596,251151,256992,265128,271544,276434
13053,GA,Chattahoochee,13905,13774,14402,11267,11749,13037
13055,GA,Chattooga,26870,26845,26619,26015,25736,25725
13057,GA,Cherokee,203890,210115,215084,214346,218286,221315
13059,GA,Clarke,113457,115154,116342,116714,117344,120266
13061,GA,Clay,3181,3164,3113,3183,3111,3116
13063,GA,Clayton,272705,276009,275772,259424,261532,265888
13065,GA,Clinch,6964,7089,6988,6798,6777,6718
13067,GA,Cobb,691496,704822,714692,688078,697553,707442
13069,GA,Coffee,40353,40742,40868,42356,42864,43170
13071,GA,Colquitt,44718,45410,45596,45498,45645,46137
13073,GA,Columbia,108859,110491,112958,124053,128112,131627
13075,GA,Cook,16401,16581,16603,17212,17125,16923
13077,GA,Coweta,118964,123416,127111,127317,129629,130929
13079,GA,Crawford,12540,12553,12240,12630,12567,12600
13081,GA,Crisp,22179,22233,22210,23439,23710,23606
13083,GA,Dade,16195,16132,16127,16633,16570,16490
13085,GA,Dawson,21602,22104,22555,22330,22459,22422
13087,GA,Decatur,28543,28754,28838,27842,27694,27509
13089,GA,DeKalb,733746,740426,747274,691893,699893,707089
13091,GA,Dodge,19772,19764,19749,21796,21894,21329
13093,GA,Dooly,11536,11517,11819,14918,14587,14318
13095,GA,Dougherty,95301,95322,95859,94565,94788,94501
13097,GA,Douglas,124324,128111,129703,132403,133355,133971
13099,GA,Early,11807,11698,11568,11008,10778,10594
13101,GA,Echols,4155,4190,4213,4034,4129,3988
13103,GA,Effingham,50838,52110,53541,52250,52655,53293
13105,GA,Elbert,20613,20575,20372,20166,19886,19684
13107,GA,Emanuel,22554,22973,23075,22598,22567,22898
13109,GA,Evans,11395,11587,11695,11000,11065,10689
13111,GA,Fannin,22555,22701,22945,23682,23708,23492
13113,GA,Fayette,105933,106398,106788,106567,107784,107524
13115,GA,Floyd,95117,95696,96250,96317,95989,96177
13117,GA,Forsyth,158369,168098,174520,175511,181840,187928
13119,GA,Franklin,21833,21804,21748,22084,21864,21894
13121,GA,Fulton,990790,1013356,1033756,920581,949599,977773
13123,GA,Gilmer,28578,28918,29021,28292,28324,28190
13125,GA,Glascock,2769,2790,2801,3082,3084,3142
13127,GA,Glynn,74753,76044,76820,79626,80386,81022
13129,GA,Gordon,52005,52964,53292,55186,55621,55766
13131,GA,Grady,24911,25056,25187,25011,25255,25440
13133,GA,Greene,15736,15765,15743,15994,16031,16092
13135,GA,Gwinnett,772464,790519,808167,805321,824941,842046
13137,GA,Habersham,42164,42975,43613,43041,43279,43520
13139,GA,Hall,178838,184731,187743,179684,183052,185416
13141,GA,Hancock,9623,9524,9219,9429,9400,8996
13143,GA,Haralson,28708,28849,28890,28780,28638,28400
13145,GA,Harris,29112,29535,30138,32024,32265,32550
13147,GA,Hart,24123,24252,24067,25213,25305,25518
13149,GA,Heard,11424,11561,11528,11834,11744,11633
13151,GA,Henry,184902,190529,195370,203922,207360,209053
13153,GA,Houston,131291,133470,135715,139900,143925,146136
13155,GA,Irwin,9967,10303,10086,9538,9679,9600
13157,GA,Jackson,59727,62224,63544,60485,61257,60571
13159,GA,Jasper,13660,13869,13953,13900,13885,13630
13161,GA,Jeff Davis,13237,13462,13659,15068,15162,15156
13163,GA,Jefferson,16385,16409,16478,16930,16675,16432
13165,GA,Jenkins,8542,8472,8450,8340,8148,9213
13167,GA,Johnson,9414,9435,9300,9980,9975,9897
13169,GA,Jones,27279,27684,27740,28669,28516,28577
13171,GA,Lamar,16930,17363,17550,18317,18194,18057
13173,GA,Lanier,8015,8320,8423,10078,10404,10400
